C,class_weight,multi_class,penalty,mean_test_score,std_test_score,rank_test_score
100.0,,multinomial,l1,,,120
100.0,,multinomial,l2,0.6095238095238095,0.08192690730516787,41
100.0,,multinomial,elasticnet,,,109
100.0,,multinomial,,,,101
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l1,,,102
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l2,0.6333333333333334,0.061352851079643445,1
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,elasticnet,,,104
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,,,,105
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l1,,,106
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l2,0.6333333333333334,0.061352851079643445,1
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,elasticnet,,,108
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,,,,110
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l1,,,119
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l2,0.6238095238095239,0.059093684028527875,17
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,elasticnet,,,112
100.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,,,,113
1000.0,balanced,auto,l1,,,114
1000.0,balanced,auto,l2,0.6285714285714287,0.08857654875113465,7
1000.0,balanced,auto,elasticnet,,,115
1000.0,balanced,auto,,,,116
1000.0,balanced,ovr,l1,,,117
1000.0,balanced,ovr,l2,0.6285714285714287,0.08857654875113465,7
1000.0,balanced,ovr,elasticnet,,,118
1000.0,balanced,ovr,,,,98
1000.0,balanced,multinomial,l1,,,127
1000.0,balanced,multinomial,l2,0.6095238095238095,0.10168645954315533,41
1000.0,balanced,multinomial,elasticnet,,,111
1000.0,balanced,multinomial,,,,107
1000.0,,auto,l1,,,103
1000.0,,auto,l2,0.6285714285714287,0.08857654875113465,7
1000.0,,auto,elasticnet,,,140
1000.0,,auto,,,,137
1000.0,,ovr,l1,,,133
1000.0,,ovr,l2,0.6285714285714287,0.08857654875113465,7
1000.0,,ovr,elasticnet,,,130
1000.0,,ovr,,,,99
1000.0,,multinomial,l1,,,124
1000.0,,multinomial,l2,0.6095238095238095,0.10168645954315533,41
1000.0,,multinomial,elasticnet,,,73
1000.0,,multinomial,,,,79
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l1,,,67
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l2,0.6333333333333334,0.05128728387747147,1
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,elasticnet,,,81
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,,,,95
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l1,,,91
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l2,0.6333333333333334,0.05128728387747147,1
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,elasticnet,,,85
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,,,,83
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l1,,,68
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l2,0.6285714285714287,0.05753831415997414,7
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,elasticnet,,,211
1000.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,,,,252
