criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,mean_test_score,std_test_score,rank_test_score
gini,10,log2,5,10,best,0.619047619047619,0.12598815766974242,360
gini,10,log2,5,10,random,0.5095238095238095,0.019047619047619067,561
gini,10,log2,5,100,best,0.7095238095238094,0.09689042833036098,19
gini,10,log2,5,100,random,0.5,0.0,637
gini,10,log2,10,2,best,0.6904761904761906,0.07824607964359517,86
gini,10,log2,10,2,random,0.5238095238095238,0.04761904761904762,513
gini,10,log2,10,5,best,0.6904761904761906,0.07824607964359517,86
gini,10,log2,10,5,random,0.5238095238095238,0.04761904761904762,513
gini,10,log2,10,10,best,0.6904761904761906,0.07824607964359517,86
gini,10,log2,10,10,random,0.5238095238095238,0.04761904761904762,513
gini,10,log2,10,100,best,0.7095238095238094,0.09689042833036098,19
gini,10,log2,10,100,random,0.5190476190476191,0.03809523809523809,549
gini,10,log2,50,2,best,0.5857142857142856,0.08464947064110086,427
gini,10,log2,50,2,random,0.5,0.0,637
gini,10,log2,50,5,best,0.5857142857142856,0.08464947064110086,427
gini,10,log2,50,5,random,0.5,0.0,637
gini,10,log2,50,10,best,0.5857142857142856,0.08464947064110086,427
gini,10,log2,50,10,random,0.5,0.0,637
gini,10,log2,50,100,best,0.5857142857142856,0.08464947064110086,427
gini,10,log2,50,100,random,0.5,0.0,637
gini,10,log2,100,2,best,0.5,0.0,637
gini,10,log2,100,2,random,0.5,0.0,637
gini,10,log2,100,5,best,0.5,0.0,637
gini,10,log2,100,5,random,0.5,0.0,637
gini,10,log2,100,10,best,0.5,0.0,637
gini,10,log2,100,10,random,0.5,0.0,637
gini,10,log2,100,100,best,0.5,0.0,637
gini,10,log2,100,100,random,0.5,0.0,637
gini,10,,1,2,best,0.5904761904761905,0.12362623795949684,416
gini,10,,1,2,random,0.6476190476190476,0.08832017614757814,246
gini,10,,1,5,best,0.6142857142857144,0.09920317455237934,380
gini,10,,1,5,random,0.6952380952380952,0.07589227357385345,85
gini,10,,1,10,best,0.6047619047619047,0.09233675918888247,399
gini,10,,1,10,random,0.7142857142857142,0.06900655593423542,3
gini,10,,1,100,best,0.680952380952381,0.10711639884954278,131
gini,10,,1,100,random,0.6571428571428571,0.06317380553057907,227
gini,10,,5,2,best,0.6428571428571429,0.11664236870396086,248
gini,10,,5,2,random,0.7047619047619048,0.07158712561129955,61
gini,10,,5,5,best,0.6428571428571429,0.11664236870396086,248
gini,10,,5,5,random,0.7047619047619048,0.07158712561129955,61
gini,10,,5,10,best,0.6428571428571429,0.11664236870396086,248
gini,10,,5,10,random,0.7047619047619048,0.07158712561129955,61
gini,10,,5,100,best,0.680952380952381,0.10711639884954278,131
gini,10,,5,100,random,0.6619047619047619,0.06632565846278154,212
gini,10,,10,2,best,0.6714285714285715,0.12453996981544779,177
gini,10,,10,2,random,0.7095238095238094,0.08164965809277261,19
gini,10,,10,5,best,0.6714285714285715,0.12453996981544779,177
gini,10,,10,5,random,0.7095238095238094,0.08164965809277261,19
gini,10,,10,10,best,0.6714285714285715,0.12453996981544779,177
gini,10,,10,10,random,0.7095238095238094,0.08164965809277261,19
gini,10,,10,100,best,0.680952380952381,0.10711639884954278,131
gini,10,,10,100,random,0.6619047619047619,0.06632565846278154,212
gini,10,,50,2,best,0.6761904761904761,0.09110060223670947,141
gini,10,,50,2,random,0.5047619047619047,0.009523809523809533,597
gini,10,,50,5,best,0.6761904761904761,0.09110060223670947,141
gini,10,,50,5,random,0.5047619047619047,0.009523809523809533,597
gini,10,,50,10,best,0.6761904761904761,0.09110060223670947,141
gini,10,,50,10,random,0.5047619047619047,0.009523809523809533,597
gini,10,,50,100,best,0.6761904761904761,0.09110060223670947,141
gini,10,,50,100,random,0.5047619047619047,0.009523809523809533,597
gini,10,,100,2,best,0.5,0.0,637
gini,10,,100,2,random,0.5,0.0,637
gini,10,,100,5,best,0.5,0.0,637
gini,10,,100,5,random,0.5,0.0,637
gini,10,,100,10,best,0.5,0.0,637
gini,10,,100,10,random,0.5,0.0,637
gini,10,,100,100,best,0.5,0.0,637
gini,10,,100,100,random,0.5,0.0,637
gini,50,sqrt,1,2,best,0.6095238095238096,0.055532875189002844,393
gini,50,sqrt,1,2,random,0.6333333333333334,0.04416008807378908,263
